Kode Universitas,Nama Universitas
10,ISBI ACEH
11,UNIVERSITAS SYIAH KUALA
12,UNIVERSITAS MALIKUSSALEH
13,UNIVERSITAS TEUKU UMAR
14,UNIVERSITAS NEGERI MEDAN
15,UNIVERSITAS SUMATERA UTARA
16,UNIVERSITAS SAMUDRA
17,UNIVERSITAS NEGERI PADANG
18,UNIVERSITAS ANDALAS
19,UNIVERSITAS RIAU
20,UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM
21,UNIVERSITAS JAMBI
22,UNIVERSITAS MARITIM RAJA ALI HAJI
23,UNIVERSITAS SRIWIJAYA
24,UNIVERSITAS BANGKA BELITUNG
25,UNIVERSITAS BENGKULU
26,INSTITUT TEKNOLOGI SUMATERA
27,UNIVERSITAS LAMPUNG
28,UNIVERSITAS ISLAM NEGERI RADEN FATAH
29,UNIVERSITAS ISLAM NEGERI AR-RANIRY
30,UNIVERSITAS NEGERI JAKARTA
31,UNIVERSITAS INDONESIA
32,UNIVERSITAS ISLAM NEGERI JAKARTA
33,INSTITUT PERTANIAN BOGOR
34,UNIVERSITAS PENDIDIKAN INDONESIA
35,INSTITUT TEKNOLOGI BANDUNG
36,UNIVERSITAS PADJADJARAN
37,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI
38,UNIVERSITAS SULTAN AGENG TIRTAYASA
39,"UPN ""VETERAN"" JAKARTA"
40,UNIVERSITAS SILIWANGI
41,UNIVERSITAS JENDERAL SOEDIRMAN
42,UNIVERSITAS NEGERI SEMARANG
43,UNIVERSITAS DIPONEGORO
44,UNIVERSITAS SEBELAS MARET
45,UNIVERSITAS ISLAM NEGERI WALISONGO
46,UNIVERSITAS NEGERI YOGYAKARTA
47,UNIVERSITAS GADJAH MADA
48,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA
49,"UPN ""VETERAN"" YOGYAKARTA"
50,UNIVERSITAS NEGERI SURABAYA
51,INSTITUT TEKNOLOGI SEPULUH NOPEMBER
52,UNIVERSITAS AIRLANGGA
53,UNIVERSITAS TRUNOJOYO MADURA
54,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA
55,UNIVERSITAS NEGERI MALANG
56,UNIVERSITAS BRAWIJAYA
57,UNIVERSITAS ISLAM NEGERI MALANG
58,UNIVERSITAS JEMBER
59,"UPN ""VETERAN"" JAWA TIMUR"
60,ISI PADANG PANJANG
61,ISBI BANDUNG
62,ISI YOGYAKARTA
63,UNIVERSITAS UDAYANA
64,UNIVERSITAS PENDIDIKAN GANESHA
65,UNIVERSITAS MATARAM
66,UNIVERSITAS NUSA CENDANA
67,UNIVERSITAS TIMOR
68,ISI SURAKARTA
69,ISI DENPASAR
71,UNIVERSITAS TANJUNGPURA
73,UNIVERSITAS PALANGKARAYA
75,UNIVERSITAS LAMBUNG MANGKURAT
77,UNIVERSITAS MULAWARMAN
78,UNIVERSITAS BORNEO TARAKAN
79,INSTITUT TEKNOLOGI KALIMANTAN
80,UNIVERSITAS NEGERI MAKASSAR
81,UNIVERSITAS ISLAM NEGERI ALAUDDIN
82,UNIVERSITAS HASANUDDIN
83,UNIVERSITAS TADULAKO
84,UNIVERSITAS HALUOLEO
85,UNIVERSITAS NEGERI GORONTALO
86,UNIVERSITAS NEGERI MANADO
87,UNIVERSITAS SAM RATULANGI
88,UNIVERSITAS SULAWESI BARAT
89,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA
90,UNIVERSITAS SINGAPERBANGSA KARAWANG
91,UNIVERSITAS TIDAR
92,UNIVERSITAS ISLAM NEGERI SUMATERA UTARA
93,UNIVERSITAS PATTIMURA
94,UNIVERSITAS CENDERAWASIH
95,UNIVERSITAS KHAIRUN
96,UNIVERSITAS PAPUA
97,ISBI TANAH PAPUA
98,UNIVERSITAS MUSAMUS MERAUKE